Original File Name,speech,music
12259-1-1.wav,"12259-1_1.wav,12259-1_2.wav","12259-1_4.wav,12259-1_5.wav,12259-1_6.wav,12259-1_7.wav,12259-1_8.wav,12259-1_9.wav,12259-1_10.wav,12259-1_11.wav,12259-1_12.wav,12259-1_13.wav,12259-1_14.wav,12259-1_15.wav,12259-1_16.wav,12259-1_17.wav,12259-1_18.wav,12259-1_19.wav,12259-1_20.wav,12259-1_21.wav,12259-1_22.wav,12259-1_23.wav,12259-1_24.wav,12259-1_25.wav,12259-1_26.wav,12259-1_27.wav,12259-1_28.wav,12259-1_29.wav,12259-1_30.wav,12259-1_31.wav,12259-1_32.wav,12259-1_33.wav,12259-1_34.wav,12259-1_35.wav,12259-1_36.wav,12259-1_37.wav,12259-1_38.wav,12259-1_39.wav,12259-1_40.wav,12259-1_41.wav"
8213-1-1.wav,8213-1_1.wav,"8213-1_3.wav,8213-1_4.wav,8213-1_5.wav,8213-1_6.wav,8213-1_7.wav,8213-1_8.wav,8213-1_9.wav,8213-1_10.wav,8213-1_11.wav,8213-1_12.wav,8213-1_13.wav,8213-1_14.wav,8213-1_15.wav,8213-1_16.wav,8213-1_17.wav,8213-1_18.wav,8213-1_19.wav,8213-1_20.wav,8213-1_21.wav,8213-1_22.wav,8213-1_23.wav,8213-1_24.wav,8213-1_25.wav,8213-1_26.wav,8213-1_27.wav,8213-1_28.wav,8213-1_29.wav,8213-1_30.wav,8213-1_31.wav,8213-1_32.wav,8213-1_33.wav,8213-1_34.wav,8213-1_35.wav,8213-1_36.wav,8213-1_37.wav,8213-1_38.wav,8213-1_39.wav,8213-1_40.wav,8213-1_41.wav,8213-1_42.wav,8213-1_43.wav,8213-1_44.wav,8213-1_45.wav,8213-1_46.wav,8213-1_47.wav,8213-1_48.wav,8213-1_49.wav,8213-1_50.wav,8213-1_51.wav,8213-1_52.wav"
13278-1-1.wav,"13278-1_1.wav,13278-1_2.wav,13278-1_3.wav,13278-1_4.wav,13278-1_5.wav,13278-1_6.wav,13278-1_7.wav,13278-1_8.wav","13278-1_10.wav,13278-1_11.wav,13278-1_12.wav,13278-1_13.wav,13278-1_14.wav,13278-1_15.wav,13278-1_16.wav,13278-1_17.wav,13278-1_18.wav,13278-1_19.wav,13278-1_20.wav,13278-1_21.wav,13278-1_22.wav,13278-1_23.wav,13278-1_24.wav,13278-1_25.wav,13278-1_26.wav,13278-1_27.wav,13278-1_28.wav,13278-1_29.wav,13278-1_30.wav,13278-1_31.wav,13278-1_32.wav,13278-1_33.wav,13278-1_34.wav,13278-1_35.wav,13278-1_36.wav,13278-1_37.wav,13278-1_38.wav,13278-1_39.wav,13278-1_40.wav,13278-1_41.wav,13278-1_42.wav,13278-1_43.wav,13278-1_44.wav,13278-1_45.wav,13278-1_46.wav,13278-1_47.wav,13278-1_48.wav,13278-1_49.wav,13278-1_50.wav,13278-1_51.wav,13278-1_52.wav,13278-1_53.wav,13278-1_54.wav,13278-1_55.wav,13278-1_56.wav,13278-1_57.wav,13278-1_58.wav,13278-1_59.wav,13278-1_60.wav,13278-1_61.wav,13278-1_62.wav,13278-1_63.wav,13278-1_64.wav,13278-1_65.wav,13278-1_66.wav,13278-1_67.wav,13278-1_68.wav,13278-1_69.wav,13278-1_70.wav,13278-1_71.wav,13278-1_72.wav,13278-1_73.wav,13278-1_74.wav,13278-1_75.wav,13278-1_76.wav,13278-1_77.wav,13278-1_78.wav"
12257-1-1.wav,"12257-1_1.wav,12257-1_2.wav","12257-1_4.wav,12257-1_5.wav,12257-1_6.wav,12257-1_7.wav,12257-1_8.wav,12257-1_9.wav,12257-1_10.wav,12257-1_11.wav,12257-1_12.wav,12257-1_13.wav,12257-1_14.wav,12257-1_15.wav,12257-1_16.wav,12257-1_17.wav,12257-1_18.wav,12257-1_19.wav,12257-1_20.wav,12257-1_21.wav,12257-1_22.wav,12257-1_23.wav,12257-1_24.wav,12257-1_25.wav,12257-1_26.wav,12257-1_27.wav,12257-1_28.wav,12257-1_29.wav,12257-1_30.wav,12257-1_31.wav,12257-1_32.wav,12257-1_33.wav,12257-1_34.wav,12257-1_35.wav,12257-1_36.wav,12257-1_37.wav,12257-1_38.wav,12257-1_39.wav,12257-1_40.wav,12257-1_41.wav,12257-1_42.wav,12257-1_43.wav,12257-1_44.wav,12257-1_45.wav,12257-1_46.wav,12257-1_47.wav,12257-1_48.wav"
14406-1-1.wav,"14406-1_1.wav,14406-1_2.wav","14406-1_4.wav,14406-1_5.wav,14406-1_6.wav,14406-1_7.wav,14406-1_8.wav,14406-1_9.wav"
13284-1-1.wav,"13284-1_1.wav,13284-1_2.wav","13284-1_4.wav,13284-1_5.wav,13284-1_6.wav,13284-1_7.wav,13284-1_8.wav,13284-1_9.wav,13284-1_10.wav,13284-1_11.wav,13284-1_12.wav,13284-1_13.wav,13284-1_14.wav,13284-1_15.wav,13284-1_16.wav,13284-1_17.wav,13284-1_18.wav,13284-1_19.wav,13284-1_20.wav,13284-1_21.wav,13284-1_22.wav,13284-1_23.wav,13284-1_24.wav"
11095-1-1.wav,"11095-1_1.wav,11095-1_2.wav","11095-1_4.wav,11095-1_5.wav,11095-1_6.wav,11095-1_7.wav,11095-1_8.wav,11095-1_9.wav,11095-1_10.wav,11095-1_11.wav,11095-1_12.wav,11095-1_13.wav,11095-1_14.wav,11095-1_15.wav,11095-1_16.wav,11095-1_17.wav,11095-1_18.wav,11095-1_19.wav,11095-1_20.wav,11095-1_21.wav,11095-1_22.wav,11095-1_23.wav,11095-1_24.wav,11095-1_25.wav,11095-1_26.wav,11095-1_27.wav,11095-1_28.wav,11095-1_29.wav"
13978-1-1.wav,13978-1_1.wav,"13978-1_3.wav,13978-1_4.wav,13978-1_5.wav,13978-1_6.wav"
12559-1-1.wav,12559-1_1.wav,"12559-1_4.wav,12559-1_5.wav,12559-1_6.wav,12559-1_7.wav,12559-1_8.wav,12559-1_9.wav,12559-1_10.wav,12559-1_11.wav,12559-1_12.wav,12559-1_13.wav,12559-1_14.wav,12559-1_15.wav,12559-1_16.wav,12559-1_17.wav,12559-1_18.wav,12559-1_19.wav,12559-1_20.wav,12559-1_21.wav,12559-1_22.wav,12559-1_23.wav,12559-1_24.wav,12559-1_25.wav,12559-1_26.wav,12559-1_27.wav,12559-1_28.wav,12559-1_29.wav,12559-1_30.wav,12559-1_31.wav,12559-1_32.wav,12559-1_33.wav,12559-1_34.wav,12559-1_35.wav,12559-1_36.wav,12559-1_37.wav,12559-1_38.wav,12559-1_39.wav,12559-1_40.wav,12559-1_41.wav,12559-1_42.wav,12559-1_43.wav,12559-1_44.wav,12559-1_45.wav,12559-1_46.wav,12559-1_47.wav,12559-1_48.wav,12559-1_49.wav,12559-1_50.wav,12559-1_51.wav,12559-1_52.wav,12559-1_53.wav,12559-1_54.wav,12559-1_55.wav,12559-1_56.wav,12559-1_57.wav,12559-1_58.wav,12559-1_59.wav,12559-1_60.wav,12559-1_61.wav,12559-1_62.wav,12559-1_63.wav,12559-1_64.wav,12559-1_65.wav,12559-1_66.wav,12559-1_67.wav,12559-1_68.wav"
13979-1-1.wav,"13979-1_1.wav,13979-1_2.wav","13979-1_4.wav,13979-1_5.wav,13979-1_6.wav,13979-1_7.wav,13979-1_8.wav,13979-1_9.wav"
